                                Прибор: Колхозная_21.06.22 (220621131903.mdb)
Канал  Параметр  Индекс     Значение         Ед.изм.          Наименование
   0       44        3    1                                                                б/р           Номер цепи, соответствующей датчику давления по
   0       44        4    8                                                                б/р           Номер цепи, соответствующей датчику температуры
   0       44        5    1                                                                б/р           Номер цепи, соответствующей датчику температуры
   0       44        7    2                                                                б/р           Номер цепи, соответствующей первому датчику рас
   0       44        8    3                                                                б/р           Номер цепи, соответствующей второму датчику рас
   0       44        9    12                                                               б/р           Номер цепи, соответствующей датчику расхода или
   0       44       10    3                                                                б/р           Номер цепи, соответствующей датчику давления по
   0       44       11    9                                                                б/р           Номер цепи, соответствующей датчику температуры
   0       44       12    3                                                                б/р           Номер цепи, соответствующей датчику температуры
   0       44       14    4                                                                б/р           Номер цепи, соответствующей первому датчику рас
   0       44       15    5                                                                б/р           Номер цепи, соответствующей второму датчику рас
   0       44       16    14                                                               б/р           Номер цепи, соответствующей датчику расхода или
   0       44       17    5                                                                б/р           Номер цепи, соответствующей датчику  давления п
   0       44       18    10                                                               б/р           Номер цепи, соответствующей датчику температуры
   0       44       19    5                                                                б/р           Номер цепи, соответствующей датчику температуры
   0       44       20    6                                                                б/р           Номер цепи, соответствующей первому датчику рас
   0       44       21    7                                                                б/р           Номер цепи, соответствующей второму датчику рас
   0       44       22    15                                                               б/р           Номер цепи, соответствующей датчику расхода или
   0       44       23    7                                                                б/р           Номер цепи, соответствующей датчику давления по
   0       44       24    11                                                               б/р           Номер цепи, соответствующей датчику температуры
   0       44       25    7                                                                б/р           Номер цепи, соответствующей датчику температуры
   0       44       26    0                                                                б/р           Номер цепи, соответствующей первому датчику рас
   0       44       27    1                                                                б/р           Номер цепи, соответствующей второму датчику рас
   0       44       28    12                                                               б/р           Номер цепи, соответствующей датчику расхода или
   0       44       29    1                                                                б/р           Номер цепи, соответствующей датчику  давления п
   0       44       30    8                                                                б/р           Номер цепи, соответствующей датчику температуры
   0       44       31    1                                                                б/р           Номер цепи, соответствующей датчику температуры
   0       44       32    11                                                               б/р           Номер цепи, соответствующей датчику температуры
   0       44       33    7                                                                б/р           Номер цепи, соответствующей датчику температуры
   0       44       34    7                                                                б/р           Номер цепи, соответствующей датчику  давления х
   0       99        0    961.02445046                                                     б/р           Версия прибора                  
   1      100        0    0                                                                б/р           Идентификатор трубопровода      
   1      101        0    0                                                                б/р           Тип теплоносителя по трубопроводу
   1      102        0    3                                                                б/р           Тип датчика первичного преобразователя расхода
   1      102        2    1.1e-05                                                          1/'C          Средний коэффициент температурного расширения м
   1      102        3    1                                                                мм            Эквивалентная шероховатость (Rш) стенок трубопр
   1      103        0    0                                                                б/р           Способ отбора перепада давления на сужающем уст
   1      103        1    Нет данных?                                                                    Диаметр сужающего устройства при 20 'C
   1      103        2    0                                                                1/'C          Средний коэффициент температурного расширения м
   1      103        3    1                                                                б/р           Коэффициент притупления кромки диафрагмы; для н
   1      104        0    1                                                                кгс/cм2       Ширина зоны (полосы) насыщения по давлению для 
   1      105        0    1                                                                б/р           Степень сухости насыщенного пара
   1      110        0    12                                                               б/р           Подключение и использование основного (первого)
   1      110        1    1200                                                             м3/ч          Верхний предел номинального диапазона измерений
   1      110        3    1                                                                %             Метрологический заход за верхний предел номинал
   1      110        4    1                                                                %             Метрологический заход за нижний предел номиналь
   1      110        5    0                                                                м3/ч          Уставка на отсечку 'самохода' по сигналу первог
   1      110        6    0                                                                м3/ч          Смещение нуля для первого датчика расхода
   1      110        7    0.01                                                             м3/имп        Цена импульса датчика с числоимпульсным выходны
   1      110        8    000000.000                                                       м3            Начальные показания датчика объема или массы с 
   1      111        0    00                                                               б/р           Подключение и использование основного (первого)
   1      111        3    1                                                                %             Метрологический заход за верхний предел номинал
   1      111        4    1                                                                %             Метрологический заход за нижний предел номиналь
   1      111        5    0                                                                м3/ч          Уставка на отсечку "самохода" по сигналу первог
   1      111        6    0                                                                м3/ч          Смещение нуля для первого датчика расхода
   1      113        0    00                                                               б/р           Подключение и использование  датчика давления
   1      113        3    1                                                                %             Метрологический заход за верхний предел номинал
   1      113        4    1                                                                %             Метрологический заход за нижний предел номиналь
   1      113        5    0                                                                кгс/cм2       Поправка на высоту водяного столба в импульсной
   1      113        6    0                                                                кгс/cм2       Смещение нуля для датчика давления
   1      114        0    25                                                               б/р           Подключение датчика температуры газа
   1      114        1    200.0                                                            'C            Верхний предел номинального диапазона измерений
   1      114        2    0                                                                'C            Нижний предел номинального диапазона измерений 
   1      114        3    1                                                                %             Метрологический заход за верхний номинальный пр
   1      114        4    1                                                                %             Метрологический заход за нижний номинальный пре
   1      115        0    600                                                              т/ч           Верхний предел номинального диапазона измерений
   1      115        1    600                                                              т/ч           Нижний предел номинального диапазона измерений,
   1      115        2    0                                                                т/ч           Нижний предел номинального диапазона измерений,
   1      117        0    200                                                              м3/ч          Константное (договорное)  значение для   датчик
   1      118        0    7                                                                кгс/cм2       Константное (договорное) значение абсолютного д
   1      119        0    70                                                               'C            Константное (договорное) значение температуры т
   1      120        0    200                                                              т/ч           Константное (договорное) значение массового рас
   1      130        0    0                                                                б/р           Признак назначение первой уставки по измеряемом
   1      130        1    0                                                                м3/ч          Значение ширины зоны гистерезиса для первой уст
   1      130        2    100000                                                           м3/ч          Значение первой уставки по измеряемому расходу 
   1      131        0    0                                                                б/р           Признак назначение второй уставки по измеряемом
   1      131        1    0                                                                м3/ч          Значение ширины зоны гистерезиса для второй уст
   1      131        2    100000                                                           м3/ч          Значение второй уставки по измеряемому расходу 
   1      133        0    0                                                                б/р           Признак назначение первой уставки по измеряемом
   1      133        1    0                                                                МПа           Значение ширины зоны гистерезиса для первой уст
   1      133        2    1000                                                             МПа           Значение первой уставки по измеряемому давлению
   1      134        0    0                                                                б/р           Признак назначение второй уставки по измеряемом
   1      134        1    0                                                                МПа           Значение ширины зоны гистерезиса для второй уст
   1      134        2    1000                                                             МПа           Значение второй уставки по измеряемому давлению
   1      135        0    0                                                                б/р           Признак назначение первой уставки по измеряемой
   1      135        1    0                                                                'C            Значение ширины зоны гистерезиса для первой уст
   1      135        2    1000                                                             'C            Значение первой уставки по измеряемой температу
   1      136        0    0                                                                б/р           Признак назначение первой уставки по измеряемой
   1      136        1    0                                                                'C            Значение ширины зоны гистерезиса для первой уст
   1      136        2    1000                                                             'C            Значение первой уставки по измеряемой температу
   1      138        0    0                                                                б/р           Признак назначение первой уставки по вычисляемо
   1      138        1    0                                                                т/ч           Значение ширины зоны гистерезиса для первой уст
   1      138        2    100000                                                           т/ч           Значение первой уставки по вычисляемому расходу
   1      139        0    0                                                                б/р           Признак назначение второй уставки по вычисляемо
   1      139        1    0                                                                т/ч           Значение ширины зоны гистерезиса для второй уст
   1      139        2    100000                                                           т/ч           Значение второй уставки по вычисляемому расходу
   1      141        0    0                                                                б/р           Признак назначение первой уставки по измеряемой
   1      141        1    0                                                                ГКал/ч        Значение ширины зоны гистерезиса для первой уст
   1      141        2    100000                                                           ГКал/ч        Значение первой уставки по измеряемой тепловой 
   1      142        0    0                                                                б/р           Признак назначение второй  уставки по измеряемо
   1      142        1    0                                                                ГКал/ч        Значение ширины зоны гистерезиса для второй уст
   1      142        2    100000                                                           ГКал/ч        Значение второй уставки по измеряемой тепловой 
   1      300        0    0                                                                б/р           Идентификатор схемы потребления тепла
   1      301        0    120001                                                           б/р           Описание оборудования узлов учета схемы потребл
   1      310        0    0                                                                б/р           Признак назначение первой  уставки по измеряемо
   1      310        1    0                                                                'C            Значение ширины зоны гистерезиса для первой  ус
   1      310        2    1000                                                             'C            Значение первой  уставки по измеряемой разности
   1      311        0    0                                                                б/р           Признак назначение второй  уставки по измеряемо
   1      311        1    0                                                                'C            Значение ширины зоны гистерезиса для второй  ус
   1      311        2    1000                                                             'C            Значение второй  уставки по измеряемой разности
   1      315        0    0                                                                б/р           Признак назначение первой  уставки по измеряемо
   1      315        1    0                                                                т/ч           Значение ширины зоны гистерезиса для первой уст
   1      315        2    100000                                                           т/ч           Значение первой  уставки по измеряемой разности
   1      316        0    0                                                                б/р           Признак назначение второй  уставки по измеряемо
   1      316        1    0                                                                т/ч           Значение ширины зоны гистерезиса для второй уст
   1      316        2    100000                                                           т/ч           Значение второй  уставки по измеряемой разности
   2      100        0    0                                                                б/р           Идентификатор трубопровода      
   2      101        0    0                                                                б/р           Тип теплоносителя по трубопроводу
   2      102        0    3                                                                б/р           Тип датчика первичного преобразователя расхода
   2      102        2    1.1e-05                                                          1/'C          Средний коэффициент температурного расширения м
   2      102        3    1                                                                мм            Эквивалентная шероховатость (Rш) стенок трубопр
   2      103        0    0                                                                б/р           Способ отбора перепада давления на сужающем уст
   2      103        2    0                                                                1/'C          Средний коэффициент температурного расширения м
   2      103        3    1                                                                б/р           Коэффициент притупления кромки диафрагмы; для н
   2      104        0    1                                                                кгс/cм2       Ширина зоны (полосы) насыщения по давлению для 
   2      105        0    1                                                                б/р           Степень сухости насыщенного пара
   2      110        0    12                                                               б/р           Подключение и использование основного (первого)
   2      110        1    1200                                                             м3/ч          Верхний предел номинального диапазона измерений
   2      110        3    1                                                                %             Метрологический заход за верхний предел номинал
   2      110        4    1                                                                %             Метрологический заход за нижний предел номиналь
   2      110        5    0                                                                м3/ч          Уставка на отсечку 'самохода' по сигналу первог
   2      110        6    0                                                                м3/ч          Смещение нуля для первого датчика расхода
   2      110        7    0.01                                                             м3/имп        Цена импульса датчика с числоимпульсным выходны
   2      110        8    000000.000                                                       м3            Начальные показания датчика объема или массы с 
   2      111        0    00                                                               б/р           Подключение и использование основного (первого)
   2      111        3    1                                                                %             Метрологический заход за верхний предел номинал
   2      111        4    1                                                                %             Метрологический заход за нижний предел номиналь
   2      111        5    0                                                                м3/ч          Уставка на отсечку "самохода" по сигналу первог
   2      111        6    0                                                                м3/ч          Смещение нуля для первого датчика расхода
   2      113        0    00                                                               б/р           Подключение и использование  датчика давления
   2      113        3    1                                                                %             Метрологический заход за верхний предел номинал
   2      113        4    1                                                                %             Метрологический заход за нижний предел номиналь
   2      113        5    0                                                                кгс/cм2       Поправка на высоту водяного столба в импульсной
   2      113        6    0                                                                кгс/cм2       Смещение нуля для датчика давления
   2      114        0    25                                                               б/р           Подключение датчика температуры газа
   2      114        1    200.0                                                            'C            Верхний предел номинального диапазона измерений
   2      114        2    0                                                                'C            Нижний предел номинального диапазона измерений 
   2      114        3    1                                                                %             Метрологический заход за верхний номинальный пр
   2      114        4    1                                                                %             Метрологический заход за нижний номинальный пре
   2      115        0    600                                                              т/ч           Верхний предел номинального диапазона измерений
   2      115        1    600                                                              т/ч           Нижний предел номинального диапазона измерений,
   2      115        2    0                                                                т/ч           Нижний предел номинального диапазона измерений,
   2      117        0    200                                                              м3/ч          Константное (договорное)  значение для   датчик
   2      118        0    4                                                                кгс/cм2       Константное (договорное) значение абсолютного д
   2      119        0    50                                                               'C            Константное (договорное) значение температуры т
   2      120        0    200                                                              т/ч           Константное (договорное) значение массового рас
   2      130        0    0                                                                б/р           Признак назначение первой уставки по измеряемом
   2      130        1    0                                                                м3/ч          Значение ширины зоны гистерезиса для первой уст
   2      130        2    100000                                                           м3/ч          Значение первой уставки по измеряемому расходу 
   2      131        0    0                                                                б/р           Признак назначение второй уставки по измеряемом
   2      131        1    0                                                                м3/ч          Значение ширины зоны гистерезиса для второй уст
   2      131        2    100000                                                           м3/ч          Значение второй уставки по измеряемому расходу 
   2      133        0    0                                                                б/р           Признак назначение первой уставки по измеряемом
   2      133        1    0                                                                МПа           Значение ширины зоны гистерезиса для первой уст
   2      133        2    1000                                                             МПа           Значение первой уставки по измеряемому давлению
   2      134        0    0                                                                б/р           Признак назначение второй уставки по измеряемом
   2      134        1    0                                                                МПа           Значение ширины зоны гистерезиса для второй уст
   2      134        2    1000                                                             МПа           Значение второй уставки по измеряемому давлению
   2      135        0    0                                                                б/р           Признак назначение первой уставки по измеряемой
   2      135        1    0                                                                'C            Значение ширины зоны гистерезиса для первой уст
   2      135        2    1000                                                             'C            Значение первой уставки по измеряемой температу
   2      136        0    0                                                                б/р           Признак назначение первой уставки по измеряемой
   2      136        1    0                                                                'C            Значение ширины зоны гистерезиса для первой уст
   2      136        2    1000                                                             'C            Значение первой уставки по измеряемой температу
   2      138        0    0                                                                б/р           Признак назначение первой уставки по вычисляемо
   2      138        1    0                                                                т/ч           Значение ширины зоны гистерезиса для первой уст
   2      138        2    100000                                                           т/ч           Значение первой уставки по вычисляемому расходу
   2      139        0    0                                                                б/р           Признак назначение второй уставки по вычисляемо
   2      139        1    0                                                                т/ч           Значение ширины зоны гистерезиса для второй уст
   2      139        2    100000                                                           т/ч           Значение второй уставки по вычисляемому расходу
   2      141        0    0                                                                б/р           Признак назначение первой уставки по измеряемой
   2      141        1    0                                                                ГКал/ч        Значение ширины зоны гистерезиса для первой уст
   2      141        2    100000                                                           ГКал/ч        Значение первой уставки по измеряемой тепловой 
   2      142        0    0                                                                б/р           Признак назначение второй  уставки по измеряемо
   2      142        1    0                                                                ГКал/ч        Значение ширины зоны гистерезиса для второй уст
   2      142        2    100000                                                           ГКал/ч        Значение второй уставки по измеряемой тепловой 
